baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	padj_nlog10	gene
44.14	8.91	1.94385183339919	4.5828112834097	4.588e-06	1.287e-02	1.89050167684037	RPL21
124.64	5.7	0.908034436707487	6.27977291250558	3.391e-10	5.706e-06	5.24365499630832	CD19-CAR-CD25-GFP
111.75	1.58	0.256377095384441	6.16133842674304	7.213e-10	6.070e-06	5.21683982224385	DDIT4
89.04	1.12	0.221869966242361	5.0315355024718	4.866e-07	2.047e-03	2.68885904654696	CD6
197.84	-0.66	0.154588208566817	-4.27183678324497	1.939e-05	4.661e-02	1.33153033579158	SELL
234.56	-0.73	0.152901543231364	-4.75480981578202	1.986e-06	6.686e-03	2.17485960127888	STAT1
190.51	-5.66	0.944464408479739	-5.99671118926372	2.014e-09	1.130e-05	4.94710333168068	CD19-CAR-GFP
